;Company;Product;Type_Name;Inches;Screen_Resolution;Cpu;RAM;Memory;GPU;OS;Weight;Price
982;Dell;Alienware 17;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;32GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;3 149.00 EUR
983;Lenovo;IdeaPad 310-15IKB;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;6GB;256GB SSD;Nvidia GeForce 920MX;Windows 10;2.4kg;695.00 EUR
984;Dell;XPS 13;2 in 1 Convertible;13.3;Quad HD+ / Touchscreen 3200x1800;Intel Core i7 7Y75 1.3GHz;16GB;512GB SSD;Intel HD Graphics 615;Windows 10;1.22kg;1 899.00 EUR
985;Dell;Latitude E7470;Ultrabook;14;Touchscreen 2560x1440;Intel Core i7 6600U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.5kg;1 962.98 EUR
986;Dell;Alienware 17;Gaming;17.3;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;32GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;4.42kg;2 800.00 EUR
987;Toshiba;Tecra A40-C-1DF;Notebook;14;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.95kg;1 180.00 EUR
988;Asus;Rog Strix;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.73kg;2 049.90 EUR
989;HP;Probook 450;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.70GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce 930MX;Windows 10;2.04kg;979.00 EUR
990;Lenovo;ThinkPad T460;Notebook;14;1366x768;Intel Core i5 6200U 2.3GHz;4GB;508GB Hybrid;Intel HD Graphics 520;Windows 7;1.70kg;1 002.00 EUR
991;Asus;Q534UX-BHI7T19 (i7-7500U/16GB/2TB;2 in 1 Convertible;15.6;4K Ultra HD / Touchscreen 3840x2160;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD +  2TB HDD;Nvidia GeForce GTX 950M;Windows 10;2.3kg;1 799.00 EUR
992;HP;15-bs053od (i7-7500U/6GB/1TB/W10);Notebook;15.6;1366x768;Intel Core i7 7500U 2.7GHz;6GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.04kg;579.00 EUR
993;Asus;Rog GL753VE-DS74;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.99kg;1 749.00 EUR
994;Dell;Inspiron 7579;2 in 1 Convertible;15.6;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;12GB;512GB SSD;Intel HD Graphics 620;Windows 10;2.19kg;1 299.00 EUR
995;Toshiba;Portege Z30-C-1CV;Notebook;13.3;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 7;1.2kg;1 195.00 EUR
996;Lenovo;IdeaPad 320-15ABR;Notebook;15.6;Full HD 1920x1080;AMD A12-Series 9720P 3.6GHz;6GB;256GB SSD;AMD Radeon 530;Windows 10;2.2kg;549.00 EUR
997;Fujitsu;LifeBook A556;Notebook;15.6;1366x768;Intel Core i5 6200U 2.3GHz;4GB;256GB SSD;Intel HD Graphics 520;Windows 10;2.3kg;649.00 EUR
998;Toshiba;Tecra A40-C-1KF;Notebook;14;1366x768;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.75kg;915.00 EUR
999;Dell;Inspiron 3567;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;AMD Radeon R5 M430;Windows 10;2.25kg;599.00 EUR
1000;HP;Probook 450;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;Intel HD Graphics 620;Windows 10;2.04kg;806.00 EUR
1001;Lenovo;Legion Y520-15IKBN;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.5kg;1 189.00 EUR
1002;Dell;Inspiron 5567;Notebook;15.6;1366x768;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;AMD Radeon R7 M445;Windows 10;2.36kg;749.00 EUR
1003;Dell;Latitude 5480;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;128GB SSD;Intel HD Graphics 620 ;Windows 10;1.6kg;1 119.00 EUR
1004;HP;EliteBook Folio;Netbook;12.5;Full HD 1920x1080;Intel Core M 6Y75 1.2GHz;8GB;512GB SSD;Intel HD Graphics 515;Windows 10;0.97kg;1 908.00 EUR
1005;HP;15-bs005nv (i3-6006U/4GB/1TB;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;128GB SSD +  1TB HDD;AMD Radeon 520;Windows 10;2.1kg;499.00 EUR
1006;Lenovo;V110-15IAP (N3350/4GB/128GB/No;Notebook;15.6;1366x768;Intel Celeron Dual Core N3350 1.1GHz;4GB;128GB SSD;Intel HD Graphics 500;No OS;1.9kg;270.62 EUR
1007;Lenovo;ThinkPad T560;Notebook;15.6;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;2.3kg;1 349.00 EUR
1008;Dell;Inspiron 5378;2 in 1 Convertible;13.3;Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.68kg;889.00 EUR
1009;Asus;ZenBook UX310UA-FB485T;Notebook;13.3;Quad HD+ 3200x1800;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.4kg;1 150.00 EUR
1010;HP;Spectre 13-V111dx;Ultrabook;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.11kg;1 349.00 EUR
1011;Acer;Aspire ES1-533;Notebook;15.6;1366x768;Intel Pentium Quad Core N4200 1.1GHz;4GB;500GB HDD;Intel HD Graphics 505;Windows 10;2.4kg;380.00 EUR
1012;Asus;Rog GL553VE-DS74;Gaming;15.6;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1050 Ti;Windows 10;2.5kg;1 799.00 EUR
1013;HP;EliteBook 840;Ultrabook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.48kg;2 089.00 EUR
1014;Acer;Nitro 5;Gaming;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.7kg;1 260.00 EUR
1015;HP;ENVY -;Notebook;13.3;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.34kg;1 189.00 EUR
1016;Dell;Vostro 3568;Notebook;15.6;1366x768;Intel Core i3 7100U 2.4GHz;4GB;128GB SSD;Intel HD Graphics 620;Windows 10;2.18kg;547.00 EUR
1017;HP;Probook 440;Notebook;14;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.64kg;779.00 EUR
1018;Toshiba;Portege Z30-C-16H;Notebook;13.3;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 10;1.2kg;1 195.00 EUR
1019;HP;EliteBook 840;Notebook;14;1366x768;Intel Core i5 6300U 2.4GHz;4GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.48kg;1 099.99 EUR
1020;HP;ProBook 640;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.95kg;1 205.00 EUR
1021;HP;EliteBook 1040;Ultrabook;14;Full HD 1920x1080;Intel Core i7 6600U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.43kg;1 449.00 EUR
1022;HP;ProBook 440;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;1.64kg;1 049.26 EUR
1023;HP;Probook 440;Notebook;14;1366x768;Intel Core i3 7100U 2.4GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.64kg;684.00 EUR
1024;Dell;Inspiron 7567;Gaming;15.6;Full HD 1920x1080;Intel Core i5 7300HQ 2.5GHz;8GB;1.0TB Hybrid;Nvidia GeForce GTX 1050;Windows 10;2.65kg;949.00 EUR
1025;HP;EliteBook 820;Ultrabook;12.5;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.26kg;1 539.00 EUR
1026;HP;Elitebook 840;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.48kg;1 590.00 EUR
1027;HP;EliteBook 840;Ultrabook;14;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.54kg;1 887.21 EUR
1028;HP;Probook 430;Notebook;13.3;1366x768;Intel Core i3 7100U 2.4GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.49kg;800.00 EUR
1029;Toshiba;Portege A30-C-1CZ;Notebook;13.3;1366x768;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.5kg;1 210.00 EUR
1030;HP;ProBook 450;Notebook;15.6;1366x768;Intel Core i3 7100U 2.4GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.04kg;769.99 EUR
1031;Lenovo;ThinkPad P70;Notebook;17.3;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 6820HQ 2.7GHz;16GB;512GB SSD;Nvidia Quadro 3000M;Windows 7;2.4kg;2 968.00 EUR
1032;Toshiba;Tecra Z40-C-12Z;Notebook;14;IPS Panel Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.47kg;1 490.00 EUR
1033;HP;EliteBook 1040;Notebook;14;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.43kg;2 229.00 EUR
1034;Dell;Inspiron 5568;2 in 1 Convertible;15.6;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i3 6100U 2.3GHz;4GB;1TB HDD;Intel HD Graphics 520;Windows 10;2.08kg;795.99 EUR
1035;Toshiba;Portégé Z30-C-16K;Ultrabook;13.3;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.2kg;1 590.00 EUR
1036;HP;Spectre 13-V100nv;Notebook;13.3;IPS Panel Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.11kg;1 149.00 EUR
1037;HP;ProBook 440;Notebook;14;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;1.64kg;1 185.43 EUR
1038;Dell;Latitude E5570;Notebook;15.6;Full HD 1920x1080;Intel Core i5 6300U 2.4GHz;8GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.09kg;1 046.44 EUR
1039;HP;Elitebook 820;Ultrabook;12.5;1366x768;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.26kg;1 559.00 EUR
1040;HP;ProBook 650;Notebook;14;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.31kg;1 189.00 EUR
1041;HP;ProBook 640;Notebook;14;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;1.95kg;1 060.00 EUR
1042;Dell;XPS 13;Ultrabook;13.3;Quad HD+ / Touchscreen 3200x1800;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.29kg;1 624.00 EUR
1043;HP;Probook 470;Notebook;17.3;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Nvidia GeForce 930MX;Windows 10;2.63kg;1 080.00 EUR
1044;HP;ProBook 440;Notebook;14;1366x768;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.64kg;973.00 EUR
1045;Acer;Aspire 3;Notebook;15.6;1366x768;AMD A9-Series 9420 3GHz;6GB;1TB HDD;AMD Radeon R5;Windows 10;2.1kg;409.00 EUR
1046;MSI;GL72M 7RDX;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 1050;Windows 10;2.7kg;1 191.80 EUR
1047;HP;Probook 640;Notebook;14;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.95kg;1 195.00 EUR
1048;HP;EliteBook 850;Notebook;15.6;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.84kg;1 228.99 EUR
1049;HP;EliteBook 820;Ultrabook;12.5;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.26kg;1 349.00 EUR
1050;HP;ProBook 450;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;Windows 10;2.04kg;742.00 EUR
1051;Toshiba;Tecra Z40-C-136;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i7 6600U 2.6GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.47kg;1 725.00 EUR
1052;Dell;Latitude E5570;Notebook;15.6;Full HD 1920x1080;Intel Core i5 6300U 2.4GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;2.09kg;1 062.95 EUR
1053;HP;ProBook 440;Notebook;14;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.64kg;1 010.51 EUR
1054;Lenovo;Yoga 500-15ISK;2 in 1 Convertible;15.6;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.8kg;847.00 EUR
1055;Vero;V142 (X5-Z8350/2GB/32GB/W10);Notebook;14;1366x768;Intel Atom X5-Z8350 1.44GHz;2GB;32GB Flash Storage;Intel HD Graphics 400;Windows 10;1.45kg;210.80 EUR
1056;Toshiba;Tecra A50-C-218;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;16GB;256GB SSD;Nvidia GeForce 930M;Windows 10;2.4kg;1 425.00 EUR
1057;Lenovo;Thinkpad L560;Notebook;15.6;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;2.3kg;1 049.60 EUR
1058;HP;EliteBook 840;Notebook;14;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;1.54kg;1 000.00 EUR
1059;HP;EliteBook 850;Notebook;15.6;Full HD 1920x1080;Intel Core i5 6300U 2.4GHz;8GB;256GB SSD +  500GB HDD;Intel HD Graphics 520;Windows 10;1.84kg;2 103.34 EUR
1060;HP;EliteBook 1040;Notebook;14;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.43kg;1 469.00 EUR
1061;MSI;GT72S Dominator;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6820HK 2.7GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 980M;Windows 10;3.78kg;1 545.64 EUR
1062;Lenovo;IdeaPad Y900-17ISK;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 980M;Windows 10;4.6kg;2 289.99 EUR
1063;Asus;Chromebook C202SA;Netbook;11.6;1366x768;Intel Celeron Dual Core N3060 1.6GHz;4GB;16GB Flash Storage;Intel HD Graphics 400;Chrome OS;1.2kg;287.90 EUR
1064;Lenovo;ThinkPad X1;Notebook;14;IPS Panel 2560x1440;Intel Core i7 6600U 2.6GHz;16GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.1kg;2 620.00 EUR
1065;HP;Noteb Pav;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;1TB HDD;Nvidia GeForce 940MX;Windows 10;1.91kg;979.00 EUR
1066;Dell;Inspiron 5578;2 in 1 Convertible;15.6;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i5 7200U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.3kg;1 094.00 EUR
1067;HP;ProBook 450;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.04kg;979.00 EUR
1068;Dell;XPS 13;Ultrabook;13.3;Quad HD+ / Touchscreen 3200x1800;Intel Core i7 7500U 2.7GHz;16GB;1TB SSD;Intel HD Graphics 620;Windows 10;1.2kg;2 254.00 EUR
1069;HP;ProBook 650;Notebook;15.6;1366x768;Intel Core i3 6100U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.31kg;705.15 EUR
1070;HP;250 G5;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;No OS;1.96kg;499.00 EUR
1071;Acer;Aspire ES1-523;Notebook;15.6;1366x768;AMD A8-Series 7410 2.2GHz;8GB;1TB HDD;AMD Radeon R5;Windows 10;2.4kg;449.00 EUR
1072;Dell;Inspiron 7378;2 in 1 Convertible;13.3;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 7500U 2.7GHz;12GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.6kg;1 299.00 EUR
1073;MSI;GT62VR 6RD;Gaming;15.6;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.94kg;1 819.00 EUR
1074;HP;ProBook 450;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.04kg;1 070.00 EUR
1075;Asus;Rog G752VL-GC088D;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16GB;1TB HDD;Nvidia GeForce GTX 965M;No OS;4kg;998.00 EUR
1076;Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;4GB;1TB HDD;Intel HD Graphics;Windows 10;2.25kg;559.00 EUR
1077;Dell;Inspiron 5567;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;16GB;2TB HDD;AMD Radeon R7 M445;Windows 10;2.32kg;989.99 EUR
1079;MSI;GS63VR 6RF;Gaming;15.6;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;1.8kg;1 929.00 EUR
1080;Dell;XPS 13;Ultrabook;13.3;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.29kg;1 458.00 EUR
1081;Asus;ROG G701VO;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6820HK 2.7GHz;64GB;1TB SSD;Nvidia GeForce GTX 980 ;Windows 10;3.58kg;3 975.00 EUR
1082;Dell;Inspiron 5368;2 in 1 Convertible;13.3;Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.62kg;798.01 EUR
1083;Dell;Alienware 15;Gaming;15.6;4K Ultra HD 3840x2160;Intel Core i7 6700HQ 2.6GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 970M;Windows 10;3.21kg;1 329.00 EUR
1084;Apple;"MacBook 12""";Ultrabook;12;IPS Panel Retina Display 2304x1440;Intel Core M 1.1GHz;8GB;256GB Flash Storage;Intel HD Graphics 515;Mac OS X;0.920kg;1 300.00 EUR
1085;Dell;Latitude 3570;Notebook;15.6;1366x768;Intel Core i3 6100U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.06kg;481.98 EUR
1086;HP;ProBook 650;Notebook;15.6;1366x768;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.31kg;1 199.00 EUR
1087;HP;EliteBook 820;Ultrabook;12.5;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 7;1.26kg;1 199.00 EUR
1088;HP;ProBook 430;Notebook;13.3;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;1.49kg;1 090.00 EUR
1089;Lenovo;ThinkPad Yoga;Ultrabook;12.5;IPS Panel Full HD / Touchscreen 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 520;Windows 10;1.3kg;1 713.49 EUR
1090;Lenovo;IdeaPad 300-17ISK;Notebook;17.3;1600x900;Intel Core i5 6200U 2.3GHz;8GB;1.0TB HDD;AMD Radeon R5 M330;Windows 10;3.0kg;659.00 EUR
1091;Lenovo;Ideapad 700-15ISK;Notebook;15.6;IPS Panel Full HD 1920x1080;Intel Core i5 6300HQ 2.3GHz;4GB;1TB HDD;Nvidia GeForce GTX 950M;Windows 10;2.3kg;977.00 EUR
1092;MSI;GT72VR Dominator;Gaming;17.3;Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;16GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1070;Windows 10;3.78kg;2 499.00 EUR
1093;Lenovo;V110-15ISK (i5-6200U/4GB/500GB/W10);Notebook;15.6;1366x768;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 10;2.1kg;540.00 EUR
1094;HP;Probook 650;Notebook;15.6;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 7;2.31kg;940.00 EUR
1095;Lenovo;Yoga 900S-12ISK;Ultrabook;12.5;IPS Panel Touchscreen 2560x1440;Intel Core M 6Y75 1.2GHz;8GB;512GB SSD;Intel HD Graphics 515;Windows 10;0.99kg;1 399.00 EUR
1096;Lenovo;IdeaPad Y900-17ISK;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6820HK 2.7GHz;32GB;512GB SSD +  1.0TB Hybrid;Nvidia GeForce GTX 980M;Windows 10;4.6kg;3 240.00 EUR
1097;Lenovo;Yoga Book;2 in 1 Convertible;10.1;IPS Panel Touchscreen 1920x1200;Intel Atom x5-Z8550 1.44GHz;4GB;64GB Flash Storage;Intel HD Graphics 400;Windows 10;0.69kg;646.27 EUR
1098;HP;Spectre x360;Ultrabook;13.3;IPS Panel 4K Ultra HD 3840x2160;Intel Core i7 7500U 2.7GHz;16GB;512GB SSD;Intel HD Graphics 620;Windows 10;1.3kg;2 049.00 EUR
1099;Dell;Vostro 3568;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;Windows 10;2.18kg;750.00 EUR
1100;HP;EliteBook 840;Notebook;14;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 7;1.54kg;1 030.99 EUR
1101;HP;ZBook 15u;Workstation;15.6;Full HD 1920x1080;Intel Core i7 6500U 2.5GHz;8GB;256GB SSD;AMD FirePro W4190M;Windows 7;1.9kg;1 495.00 EUR
1102;Lenovo;ThinkPad T460;Notebook;14;Full HD 1920x1080;Intel Core i5 6200U 2.3GHz;8GB;180GB SSD;Intel HD Graphics 520;Windows 7;1.7kg;1 199.00 EUR
1103;HP;Chromebook 13;Notebook;13.3;Quad HD+ 3200x1800;Intel Pentium Dual Core 4405Y 1.5GHz;4GB;32GB Flash Storage;Intel HD Graphics 515;Chrome OS;1.29kg;615.00 EUR
1104;Acer;Aspire ES1-523;Notebook;15.6;1366x768;AMD A8-Series 7410 2.2GHz;4GB;500GB HDD;AMD Radeon R5;Windows 10;2.4kg;387.00 EUR
1105;Dell;Inspiron 3552;Notebook;15.6;1366x768;Intel Pentium Quad Core N3700 1.6GHz;4GB;500GB HDD;Intel HD Graphics;Linux;2.2kg;393.49 EUR
1106;HP;250 G6;Notebook;15.6;1366x768;Intel Core i3 6006U 2GHz;4GB;1TB HDD;Intel HD Graphics 520;No OS;1.86kg;345.99 EUR
1107;Asus;Rog GL702VM-GC354T;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 7700HQ 2.8GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 1060;Windows 10;2.7kg;1 599.00 EUR
1108;Dell;Inspiron 5370;Ultrabook;13.3;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;4GB;256GB SSD;AMD Radeon 530;Windows 10;1.4kg;818.35 EUR
1109;HP;Elitebook 820;Netbook;12.5;1366x768;Intel Core i5 6200U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 7;2.4kg;1 599.00 EUR
1110;Acer;Aspire F5-573G;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD +  1TB HDD;Nvidia GeForce GTX 950M;Windows 10;2.4kg;799.00 EUR
1111;Dell;Inspiron 5567;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;1TB HDD;AMD Radeon R7 M445;Windows 10;2.36kg;638.80 EUR
1112;MSI;GS70 Stealth;Gaming;17.3;Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;8GB;256GB SSD;Nvidia GeForce GTX 965M;Windows 10;2.6kg;1 599.00 EUR
1113;HP;250 G5;Notebook;15.6;1366x768;Intel Pentium Quad Core N3710 1.6GHz;4GB;1TB HDD;Intel HD Graphics 405;Windows 10;1.96kg;500.00 EUR
1114;Asus;G752VY-GC162T (i7-6700HQ/16GB/1TB;Gaming;17.3;IPS Panel Full HD 1920x1080;Intel Core i7 6700HQ 2.6GHz;16GB;128GB SSD +  1TB HDD;Nvidia GeForce GTX 980M;Windows 10;4.3kg;2 299.00 EUR
1115;Dell;Latitude E5270;Ultrabook;12.5;1366x768;Intel Core i3 6100U 2.3GHz;4GB;500GB HDD;Intel HD Graphics 520;Windows 7;1.5kg;1 135.15 EUR
1116;Dell;Latitude E5270;Ultrabook;12.5;1366x768;Intel Core i3 6100U 2.3GHz;4GB;128GB SSD;Intel HD Graphics 520;Windows 7;1.5kg;1 166.97 EUR
